Proposed MITAB Unique ID	Proposed MITAB Alt ID(s)	Proposed MITAB Aliases
N/A	N/A	N/A
refseq:YP_009725255	intact:EBI-25475906|biogrid:4383867|entrez gene/locuslink:43740576|entrez gene/locuslink:ORF10|entrez gene/locuslink:GU280_gp11|uniprotkb:A0A663DJA2	psi-mi:a0a663dja2_sars2(display_long)|uniprotkb:ORF10(gene name)|psi-mi:ORF10(display_short)|entrez gene/locuslink:A0A663DJA2_9BETC(gene name synonym)|entrez gene/locuslink:SARS-CoV-2 ORF10(gene name synonym)|entrez gene/locuslink:SARS-CoV2 ORF10(gene name synonym)
refseq:YP_009725312	intact:EBI-25475882|biogrid:4383866|entrez gene/locuslink:nsp11|entrez gene/locuslink:GU280_gp12_nsp11|uniprotkb:P0DTC1-PRO_0000449645	psi-mi:p0dtc1-pro_0000449645(display_long)|uniprotkb:Non-structural protein 11(gene name synonym)|entrez gene/locuslink:ORF1a-nsp11(gene name synonym)|entrez gene/locuslink:SARS-CoV-2 nsp11(gene name synonym)|entrez gene/locuslink:SARS-CoV2 nsp11(gene name synonym)
refseq:YP_009724390	intact:EBI-25474821|biogrid:4383848|entrez gene/locuslink:43740568|entrez gene/locuslink:S|entrez gene/locuslink:GU280_gp02|uniprotkb:P0DTC2	psi-mi:spike_sars2-1(display_long)|uniprotkb:S(gene name)|psi-mi:S(display_short)|uniprotkb:E2(gene name synonym)|uniprotkb:Peplomer protein(gene name synonym)|uniprotkb:2(orf name)|entrez gene/locuslink:S protein(gene name synonym)|entrez gene/locuslink:SARS-CoV-2 S(gene name synonym)|entrez gene/locuslink:SARS-CoV-2 spike(gene name synonym)|entrez gene/locuslink:SARS-CoV2 S(gene name synonym)|entrez gene/locuslink:SARS-CoV2 spike(gene name synonym)|entrez gene/locuslink:SPIKE_WCPV(gene name synonym)|entrez gene/locuslink:spike(gene name synonym)|entrez gene/locuslink:surface(gene name synonym)|entrez gene/locuslink:surface glycoprotein(protein name)|uniprotkb:Spike glycoprotein(protein name)
refseq:YP_009724391	intact:EBI-25475894|biogrid:4383868|entrez gene/locuslink:43740569|entrez gene/locuslink:GU280_gp03|uniprotkb:P0DTC3	psi-mi:ap3a_sars2(display_long)|uniprotkb:Accessory protein 3a(gene name synonym)|uniprotkb:Protein U274(gene name synonym)|uniprotkb:Protein X1(gene name synonym)|uniprotkb:Protein 3a(protein name)|entrez gene/locuslink:AP3A_WCPV(gene name synonym)|entrez gene/locuslink:SARS-CoV-2 ORF3a(gene name synonym)|entrez gene/locuslink:SARS-CoV2 ORF3a(gene name synonym)|entrez gene/locuslink:ORF3a(gene name synonym)|entrez gene/locuslink:ORF3a protein(protein name)
refseq:YP_009724392	intact:EBI-25475850|intact:EBI-25475853|intact:EBI-25475856|intact:EBI-25474821|intact:EBI-25475847|intact:EBI-25475880|intact:EBI-25475882|intact:EBI-25475885|intact:EBI-25475888|intact:EBI-25475920|intact:EBI-25475891|intact:EBI-25475859|intact:EBI-25475862|intact:EBI-25475864|intact:EBI-25475868|intact:EBI-25475871|intact:EBI-25475874|intact:EBI-25475877|intact:EBI-25475906|intact:EBI-25475894|intact:EBI-25475912|intact:EBI-25475897|intact:EBI-25475903|intact:EBI-25475900|intact:EBI-25475909|intact:EBI-25475917|entrez gene/locuslink:43740570|biogrid:4383845|entrez gene/locuslink:E|entrez gene/locuslink:GU280_gp04|uniprotkb:P0DTC4	psi-mi:vemp_sars2(display_long)|uniprotkb:E(gene name)|psi-mi:E(display_short)|uniprotkb:4(orf name)|entrez gene/locuslink:E protein(gene name synonym)|entrez gene/locuslink:SARS-CoV-2 E(gene name synonym)|entrez gene/locuslink:SARS-CoV2 E(gene name synonym)|entrez gene/locuslink:VEMP_WCPV(gene name synonym)|entrez gene/locuslink:emp(gene name synonym)|entrez gene/locuslink:env(gene name synonym)|entrez gene/locuslink:envelope(gene name synonym)|entrez gene/locuslink:envelope protein(protein name)|uniprotkb:Envelope small membrane protein(protein name)
refseq:YP_009724393	entrez gene/locuslink:43740571|intact:EBI-25475853|biogrid:4383846|entrez gene/locuslink:M|entrez gene/locuslink:GU280_gp05|uniprotkb:P0DTC5	psi-mi:vme1_sars2(display_long)|uniprotkb:E1 glycoprotein(gene name synonym)|uniprotkb:Matrix glycoprotein(gene name synonym)|uniprotkb:Membrane glycoprotein(gene name synonym)|uniprotkb:Membrane protein(protein name)|entrez gene/locuslink:M protein(gene name synonym)|entrez gene/locuslink:SARS-CoV-2 M(gene name synonym)|entrez gene/locuslink:SARS-CoV2 M(gene name synonym)|entrez gene/locuslink:VME1_WCPV(gene name synonym)|entrez gene/locuslink:mem(gene name synonym)|entrez gene/locuslink:membrane(gene name synonym)
refseq:YP_009724394	entrez gene/locuslink:43740572|intact:EBI-25475897|biogrid:4383870|entrez gene/locuslink:ORF6|entrez gene/locuslink:GU280_gp06|uniprotkb:P0DTC6	psi-mi:ns6_sars2(display_long)|uniprotkb:Accessory protein 6(gene name synonym)|uniprotkb:Protein X3(gene name synonym)|uniprotkb:6(orf name)|uniprotkb:Non-structural protein 6(protein name)|entrez gene/locuslink:NS6_WCPV(gene name synonym)|entrez gene/locuslink:SARS-CoV-2 ORF6(gene name synonym)|entrez gene/locuslink:SARS-CoV2 ORF6(gene name synonym)|entrez gene/locuslink:ORF6 protein(protein name)
refseq:YP_009724395	entrez gene/locuslink:43740573|intact:EBI-25475903|biogrid:4383872|entrez gene/locuslink:ORF7a|entrez gene/locuslink:GU280_gp07|uniprotkb:P0DTC7	psi-mi:ns7a_sars2(display_long)|uniprotkb:Accessory protein 7a(gene name synonym)|uniprotkb:Protein U122(gene name synonym)|uniprotkb:Protein X4(gene name synonym)|uniprotkb:7a(orf name)|uniprotkb:Protein 7a(protein name)|entrez gene/locuslink:NS7A_WCPV(gene name synonym)|entrez gene/locuslink:SARS-CoV-2 ORF7a(gene name synonym)|entrez gene/locuslink:SARS-CoV2 ORF7a(gene name synonym)|entrez gene/locuslink:ORF7a protein(protein name)
refseq:YP_009724396	entrez gene/locuslink:43740577|intact:EBI-25475900|biogrid:4383873|entrez gene/locuslink:ORF8|entrez gene/locuslink:GU280_gp09|uniprotkb:P0DTC8	psi-mi:ns8_sars2(display_long)|entrez gene/locuslink:NS7B_WCPV(gene name synonym)|entrez gene/locuslink:SARS-CoV-2 ORF8(gene name synonym)|entrez gene/locuslink:SARS-CoV2 ORF8(gene name synonym)|entrez gene/locuslink:ORF8 protein(protein name)
refseq:YP_009724397	entrez gene/locuslink:43740575|intact:EBI-25475856|biogrid:4383847|entrez gene/locuslink:N|entrez gene/locuslink:GU280_gp10|uniprotkb:P0DTC9	psi-mi:ncap_sars2(display_long)|uniprotkb:N(gene name)|psi-mi:N(display_short)|uniprotkb:Nucleocapsid protein(gene name synonym)|uniprotkb:Nucleoprotein(protein name)|entrez gene/locuslink:N protein(gene name synonym)|entrez gene/locuslink:NCAP_WCPV(gene name synonym)|entrez gene/locuslink:SARS-CoV-2 N(gene name synonym)|entrez gene/locuslink:SARS-CoV2 N(gene name synonym)|entrez gene/locuslink:ncap(gene name synonym)|entrez gene/locuslink:nuc(gene name synonym)|entrez gene/locuslink:nucleocapsid(gene name synonym)|entrez gene/locuslink:nucleocapsid phosphoprotein(protein name)
refseq:YP_009725297	entrez gene/locuslink:43740578|intact:EBI-25475847|biogrid:4383850|entrez gene/locuslink:nsp1|entrez gene/locuslink:GU280_gp01_nsp1|uniprot/swiss-prot:P0DTD1|uniprotkb:P0DTC1|refseq:YP_009742608|uniprotkb:P0DTD1-PRO_0000449619|uniprotkb:P0DTC1-PRO_0000449635	psi-mi:p0dtd1-pro_0000449619(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)|uniprotkb:Host translation inhibitor nsp1(protein name)|uniprotkb:Non-structural protein 1(protein name)|entrez gene/locuslink:ORF1ab(gene name synonym)|entrez gene/locuslink:ORF1ab-nsp1(gene name synonym)|entrez gene/locuslink:R1AB_WCPV(gene name synonym)|entrez gene/locuslink:SARS-CoV-2 nsp1(gene name synonym)|entrez gene/locuslink:SARS-CoV2 nsp1(gene name synonym)|entrez gene/locuslink:leader protein(protein name)
refseq:YP_009725298	entrez gene/locuslink:43740578|intact:EBI-25475859|biogrid:4383851|entrez gene/locuslink:nsp2|entrez gene/locuslink:GU280_gp01_nsp2|uniprot/swiss-prot:P0DTD1|uniprotkb:P0DTC1|refseq:YP_009742609|uniprotkb:P0DTC1-PRO_0000449636|uniprotkb:P0DTD1-PRO_0000449620	psi-mi:p0dtd1-pro_0000449620(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)|uniprotkb:Non-structural protein 2(protein name)|entrez gene/locuslink:ORF1ab(gene name synonym)|entrez gene/locuslink:ORF1ab-nsp2(gene name synonym)|entrez gene/locuslink:R1AB_WCPV(gene name synonym)|entrez gene/locuslink:SARS-CoV-2 nsp2(gene name synonym)|entrez gene/locuslink:SARS-CoV2 nsp2(gene name synonym)
refseq:YP_009725299	entrez gene/locuslink:43740578|intact:EBI-25492388|biogrid:4383852|entrez gene/locuslink:nsp3|entrez gene/locuslink:GU280_gp01_nsp3|uniprotkb:P0DTD1|uniprotkb:P0DTC1|uniprotkb:P0DTD1-PRO_0000449621|uniprotkb:P0DTC1-PRO_0000449637|refseq:YP_009742610	psi-mi:p0dtd1-pro_0000449621(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)|uniprotkb:Non-structural protein 3(protein name)|entrez gene/locuslink:ORF1ab(gene name synonym)|entrez gene/locuslink:ORF1ab-nsp3(gene name synonym)|entrez gene/locuslink:R1AB_WCPV(gene name synonym)|entrez gene/locuslink:SARS-CoV-2 nsp3(gene name synonym)|entrez gene/locuslink:SARS-CoV2 nsp3(gene name synonym)
refseq:YP_009725300	entrez gene/locuslink:43740578|intact:EBI-25475862|biogrid:4383853|entrez gene/locuslink:nsp4|entrez gene/locuslink:GU280_gp01_nsp4|uniprotkb:P0DTD1|uniprotkb:P0DTC1|uniprotkb:P0DTD1-PRO_0000449622|uniprotkb:P0DTC1-PRO_0000449638|refseq:YP_009742611	psi-mi:p0dtd1-pro_0000449622(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)|uniprotkb:Non-structural protein 4(protein name)|entrez gene/locuslink:ORF1ab(gene name synonym)|entrez gene/locuslink:ORF1ab-nsp4(gene name synonym)|entrez gene/locuslink:R1AB_WCPV(gene name synonym)|entrez gene/locuslink:SARS-CoV-2 nsp4(gene name synonym)|entrez gene/locuslink:SARS-CoV2 nsp4(gene name synonym)
refseq:YP_009725301	entrez gene/locuslink:43740578|intact:EBI-25475864|biogrid:4383854|entrez gene/locuslink:nsp5|entrez gene/locuslink:GU280_gp01_nsp5|uniprotkb:P0DTD1|uniprotkb:P0DTC1|uniprotkb:P0DTC1-PRO_0000449639|uniprotkb:P0DTD1-PRO_0000449623|refseq:YP_009742612	psi-mi:p0dtd1-pro_0000449623(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)|uniprotkb:3C-like proteinase(protein name)|entrez gene/locuslink:ORF1ab(gene name synonym)|entrez gene/locuslink:ORF1ab-nsp5(gene name synonym)|entrez gene/locuslink:R1AB_WCPV(gene name synonym)|entrez gene/locuslink:SARS-CoV-2 nsp5(gene name synonym)|entrez gene/locuslink:SARS-CoV2 nsp5(gene name synonym)|entrez gene/locuslink:3C-like proteinase(protein name)
refseq:YP_009725302	entrez gene/locuslink:43740578|intact:EBI-25475868|biogrid:4383855|entrez gene/locuslink:nsp6|entrez gene/locuslink:GU280_gp01_nsp6|uniprotkb:P0DTD1|uniprotkb:P0DTC1|uniprotkb:P0DTC1-PRO_0000449640|uniprotkb:P0DTD1-PRO_0000449624|refseq:YP_009742613	psi-mi:p0dtd1-pro_0000449624(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)|uniprotkb:Non-structural protein 6(protein name)|entrez gene/locuslink:ORF1ab(gene name synonym)|entrez gene/locuslink:ORF1ab-nsp6(gene name synonym)|entrez gene/locuslink:R1AB_WCPV(gene name synonym)|entrez gene/locuslink:SARS-CoV-2 nsp6(gene name synonym)|entrez gene/locuslink:SARS-CoV2 nsp6(gene name synonym)
refseq:YP_009725303	entrez gene/locuslink:43740578|intact:EBI-25475871|biogrid:4383856|entrez gene/locuslink:nsp7|entrez gene/locuslink:GU280_gp01_nsp7|uniprotkb:P0DTD1|uniprotkb:P0DTC1|uniprotkb:P0DTC1-PRO_0000449641|uniprotkb:P0DTD1-PRO_0000449625|refseq:YP_009742614	psi-mi:p0dtd1-pro_0000449625(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)|uniprotkb:Non-structural protein 7(protein name)|entrez gene/locuslink:ORF1ab(gene name synonym)|entrez gene/locuslink:ORF1ab-nsp7(gene name synonym)|entrez gene/locuslink:R1AB_WCPV(gene name synonym)|entrez gene/locuslink:SARS-CoV-2 nsp7(gene name synonym)|entrez gene/locuslink:SARS-CoV2 nsp7(gene name synonym)
refseq:YP_009725304	entrez gene/locuslink:43740578|intact:EBI-25475874|biogrid:4383857|entrez gene/locuslink:nsp8|entrez gene/locuslink:GU280_gp01_nsp8|uniprotkb:P0DTD1|uniprotkb:P0DTC1|uniprotkb:P0DTC1-PRO_0000449642|uniprotkb:P0DTD1-PRO_0000449626|refseq:YP_009742615	psi-mi:p0dtd1-pro_0000449626(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)|uniprotkb:Non-structural protein 8(protein name)|entrez gene/locuslink:ORF1ab(gene name synonym)|entrez gene/locuslink:ORF1ab-nsp8(gene name synonym)|entrez gene/locuslink:R1AB_WCPV(gene name synonym)|entrez gene/locuslink:SARS-CoV-2 nsp8(gene name synonym)|entrez gene/locuslink:SARS-CoV2 nsp8(gene name synonym)
refseq:YP_009725305	entrez gene/locuslink:43740578|intact:EBI-25475877|biogrid:4383858|entrez gene/locuslink:nsp9|entrez gene/locuslink:GU280_gp01_nsp9|uniprotkb:P0DTD1|uniprotkb:P0DTC1|uniprotkb:P0DTC1-PRO_0000449643|uniprotkb:P0DTD1-PRO_0000449627|refseq:YP_009742616	psi-mi:p0dtd1-pro_0000449627(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)|uniprotkb:Non-structural protein 9(protein name)|entrez gene/locuslink:ORF1ab(gene name synonym)|entrez gene/locuslink:ORF1ab-nsp9(gene name synonym)|entrez gene/locuslink:R1AB_WCPV(gene name synonym)|entrez gene/locuslink:SARS-CoV-2 nsp9(gene name synonym)|entrez gene/locuslink:SARS-CoV2 nsp9(gene name synonym)
refseq:YP_009725306	entrez gene/locuslink:43740578|intact:EBI-25475880|biogrid:4383859|entrez gene/locuslink:nsp10|entrez gene/locuslink:GU280_gp01_nsp10|uniprotkb:P0DTD1|uniprotkb:P0DTC1|uniprotkb:P0DTC1-PRO_0000449644|uniprotkb:P0DTD1-PRO_0000449628|refseq:YP_009742617	psi-mi:p0dtd1-pro_0000449628(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)|uniprotkb:Non-structural protein 10(protein name)|entrez gene/locuslink:ORF1ab(gene name synonym)|entrez gene/locuslink:ORF1ab-nsp10(gene name synonym)|entrez gene/locuslink:R1AB_WCPV(gene name synonym)|entrez gene/locuslink:SARS-CoV-2 nsp10(gene name synonym)|entrez gene/locuslink:SARS-CoV2 nsp10(gene name synonym)
refseq:YP_009725307	entrez gene/locuslink:43740578|intact:EBI-25475885|biogrid:4383860|entrez gene/locuslink:nsp12|entrez gene/locuslink:GU280_gp01_nsp12|uniprot/swiss-prot:P0DTD1|uniprotkb:P0DTD1-PRO_0000449629	psi-mi:p0dtd1-pro_0000449629(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)|uniprotkb:RNA-directed RNA polymerase(protein name)|entrez gene/locuslink:ORF1ab(gene name synonym)|entrez gene/locuslink:ORF1ab-nsp12(gene name synonym)|entrez gene/locuslink:R1AB_WCPV(gene name synonym)|entrez gene/locuslink:SARS-CoV-2 nsp12(gene name synonym)|entrez gene/locuslink:SARS-CoV2 nsp12(gene name synonym)|entrez gene/locuslink:RNA-dependent RNA polymerase(protein name)
refseq:YP_009725308	intact:EBI-25475888|biogrid:4383861|entrez gene/locuslink:nsp13|entrez gene/locuslink:GU280_gp01_nsp13|uniprotkb:P0DTD1|uniprotkb:P0DTD1-PRO_0000449630|entrez gene/locuslink:43740578	psi-mi:p0dtd1-pro_0000449630(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)|entrez gene/locuslink:ORF1ab(gene name synonym)|entrez gene/locuslink:ORF1ab-nsp13(gene name synonym)|entrez gene/locuslink:R1AB_WCPV(gene name synonym)|entrez gene/locuslink:SARS-CoV-2 nsp13(gene name synonym)|entrez gene/locuslink:SARS-CoV2 nsp13(gene name synonym)|entrez gene/locuslink:helicase(protein name)
refseq:YP_009725309	entrez gene/locuslink:43740578|intact:EBI-25475920|biogrid:4383862|entrez gene/locuslink:nsp14|entrez gene/locuslink:GU280_gp01_nsp14|uniprotkb:P0DTD1|uniprotkb:P0DTD1-PRO_0000449631	psi-mi:p0dtd1-pro_0000449631(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)|entrez gene/locuslink:ORF1ab(gene name synonym)|entrez gene/locuslink:ORF1ab-nsp14(gene name synonym)|entrez gene/locuslink:R1AB_WCPV(gene name synonym)|entrez gene/locuslink:SARS-CoV-2 nsp14(gene name synonym)|entrez gene/locuslink:SARS-CoV2 nsp14(gene name synonym)|entrez gene/locuslink:3'-to-5' exonuclease(protein name)|uniprotkb:Proofreading exoribonuclease(protein name)
refseq:YP_009725310	entrez gene/locuslink:43740578|intact:EBI-25475891|biogrid:4383863|entrez gene/locuslink:nsp15|entrez gene/locuslink:GU280_gp01_nsp15|uniprot/swiss-prot:P0DTD1|uniprotkb:P0DTD1-PRO_0000449632	psi-mi:p0dtd1-pro_0000449632(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)|uniprotkb:Uridylate-specific endoribonuclease(protein name)|entrez gene/locuslink:ORF1ab(gene name synonym)|entrez gene/locuslink:ORF1ab-nsp15(gene name synonym)|entrez gene/locuslink:R1AB_WCPV(gene name synonym)|entrez gene/locuslink:SARS-CoV-2 nsp15(gene name synonym)|entrez gene/locuslink:SARS-CoV2 nsp15(gene name synonym)|entrez gene/locuslink:endoRNAse(protein name)
refseq:YP_009725311	entrez gene/locuslink:43740578|intact:EBI-25492395|biogrid:4383864|entrez gene/locuslink:nsp16|entrez gene/locuslink:GU280_gp01_nsp16|uniprot/swiss-prot:P0DTD1|uniprotkb:P0DTD1-PRO_0000449633	psi-mi:p0dtd1-pro_0000449633(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)|uniprotkb:2'-O-methyltransferase(protein name)|entrez gene/locuslink:ORF1ab(gene name synonym)|entrez gene/locuslink:ORF1ab-nsp16(gene name synonym)|entrez gene/locuslink:R1AB_WCPV(gene name synonym)|entrez gene/locuslink:SARS-CoV-2 nsp16(gene name synonym)|entrez gene/locuslink:SARS-CoV2 nsp16(gene name synonym)|entrez gene/locuslink:2'-O-ribose methyltransferase(protein name)
refseq:P0DTD2	intact:EBI-25475909|biogrid:4383874|entrez gene/locuslink:ORF9b|uniprotkb:P0DTD2	psi-mi:orf9b_sars2(display_long)|uniprotkb:Accessory protein 9b(gene name synonym)|uniprotkb:ORF-9b(gene name synonym)|entrez gene/locuslink:ORF9B_WCPV(gene name synonym)|entrez gene/locuslink:SARS-CoV-2 ORF9b(gene name synonym)|entrez gene/locuslink:SARS-CoV2 ORF9b(gene name synonym)|entrez gene/locuslink:Protein 9b(protein name)
refseq:P0DTD3	uniprotkb:P0DTD3|biogrid:4383875|intact:EBI-25475917|biogrid:4383875|entrez gene/locuslink:ORF9c	psi-mi:y14_sars2(display_long)|uniprotkb:ORF14(orf name)|entrez gene/locuslink:SARS-CoV-2 ORF9c(gene name synonym)|entrez gene/locuslink:SARS-CoV2 ORF9c(gene name synonym)|entrez gene/locuslink:Uncharacterized protein 14(protein name)
refseq:YP_009725318	intact:EBI-25475914|biogrid:4383871|entrez gene/locuslink:ORF7b|entrez gene/locuslink:GU280_gp08|uniprotkb:P0DTD8|entrez gene/locuslink:43740574	psi-mi:ns7b_sars2(display_long)|uniprotkb:Accessory protein 7b(gene name synonym)|uniprotkb:Protein non-structural 7b(gene name synonym)|entrez gene/locuslink:NS7B_WCPV(gene name synonym)|entrez gene/locuslink:SARS-CoV-2 ORF7b(gene name synonym)|entrez gene/locuslink:SARS-CoV2 ORF7b(gene name synonym)
